country,gdesc,kdp_1mo,kdp_3mo,kdp_6mo,kdp_1yr,kdp_2yr,kdp_3yr,kdp_4yr,kdp_5yr,kdp_7yr,kdp_10yr,Cluster
GBR,Financials,0.0043545571275522095,0.0045694257670211924,0.004897993813368526,0.0054693123488083195,0.0062857395893175984,0.006764380266671841,0.007094093042077478,0.00731403725060166,0.0076147670417669455,0.0078097418733017645,1
GBR,Health Care,0.005856088114462842,0.006105860650185226,0.006453539071595978,0.007127631265593104,0.008242367869509337,0.008951022361835639,0.00942239541317003,0.009731925351931655,0.010111166545701974,0.010316840610115672,1
GBR,Industrials,0.005466710049716729,0.005687400689867806,0.006023843337958144,0.006616043771534281,0.007442856825066483,0.00789898013797356,0.008189007188499632,0.008362040199637722,0.008579201082976837,0.008696803855937102,1
GBR,Info Tech,0.004546682556386871,0.0048404981579378515,0.005238155219813228,0.005958464950576156,0.007048132323739828,0.007710691267544099,0.008154907869586588,0.008449708105510349,0.008826827512970346,0.009058347056414177,1
GBR,Materials,0.00716475397272779,0.00764333897130142,0.008264651416100874,0.009265849090546015,0.010454991616363327,0.0110956916751298,0.011456263155702629,0.011648600701774404,0.011826105176014148,0.011853673065555998,1
GBR,Real Estate,0.0026489654038036265,0.0028197338053958425,0.0030842623927465726,0.003598737783281733,0.004479381460415746,0.005029968836797877,0.0054341959274657224,0.005722226007961079,0.0061352350287483415,0.006439391764705882,1
GBR,Utilities,0.00516753770825336,0.005466019581573897,0.0058989699385796545,0.00662705742034549,0.007558890894433781,0.008021353846449137,0.00828963457581574,0.008430519765834933,0.00859159554318618,0.008658433005758158,1
GRC,Communications,0.02255495331961591,0.023299627914952,0.024179078518518516,0.02462213144032923,0.02312132541838135,0.021740529245541842,0.02054171980795611,0.019505826063100137,0.017975359574759944,0.01662087028806584,2
GRC,Cons Disc,0.01287076441805224,0.01348787546318289,0.014272463895486934,0.015091424162048044,0.015084737761942468,0.01478076198469254,0.01441479863816309,0.014036717157561367,0.013435592150963313,0.01286081171021378,2
GRC,Cons Stap,0.011785344749498999,0.012330613126252506,0.013044735619238475,0.013775567611222445,0.013733725607214425,0.013434147210420846,0.01309750453306613,0.012755778849699398,0.012227003787575151,0.011728979779559121,2
GRC,Energy,0.015929581852173913,0.01626564582608695,0.016769765486956523,0.01726337282608696,0.017018009495652173,0.016547415608695656,0.016041779765217392,0.015538659956521738,0.014752715991304347,0.014008892452173913,2
GRC,Financials,0.012781668808049537,0.013056499535603715,0.013441067716718266,0.013700289984520124,0.013295942732198142,0.012857262623839008,0.012464167747678018,0.012101772058823528,0.011574045340557275,0.011078907832817337,2
GRC,Health Care,0.017744707127158553,0.018658500141287275,0.01981077050235478,0.0208673410989011,0.020287053689167965,0.0194354710989011,0.018597275164835163,0.017823039136577703,0.01663744562009419,0.015576482386185243,2
GRC,Industrials,0.023762723022840854,0.02368393394539616,0.023674200533547463,0.023231177153818713,0.021678698245895803,0.020447797005710196,0.01941380132048537,0.01851918840114203,0.01720792117416132,0.016016601295503217,2
GRC,Info Tech,0.008541342466843498,0.008994277198938996,0.009580435389920422,0.010358779448275858,0.010946665013262592,0.011150181803713528,0.011202443517241383,0.011166895061007964,0.011059545273209547,0.010895062864721482,1
GRC,Materials,0.014896263402020202,0.015588044347474751,0.016476561256565655,0.017358715301010106,0.017149805503030302,0.016639029919191913,0.016090516896969692,0.01555550045252525,0.014721957446464649,0.013953837620202018,2
GRC,Real Estate,0.007035838472573839,0.007404899434599153,0.007869953518987343,0.00846617854008439,0.00895870241350211,0.009195397375527426,0.009324911814345993,0.009380111856540084,0.00943274010126582,0.009412850143459914,1
